,Psalm,Verse,hebrew_lemmas,septuagint_lemmas,gallican_psalter_lemmas,hebrew_psalter_lemmas
10,2,5,אז דיבר אל אף חרון תועד,τοάω λάσκω πρόστημι αὐτός εἶμι ὁργέω αὐτάω καίω εἶμι τίω θυμόω αὐτάω ταράσσω αὐτός,tunc loquor ad is in ira suus et in furor suus conturbo is,tunc loquor ad is in ira suus et in furor suus conturbo is
11,2,6,אני נסכתי מלך על ציון הר קודש,εγω δέω καθίστημι βασιλεύς εἶμι αὐτάω ἕπομαι σῖος ορος τῷς ἄγιος αὐτάω,ego autem constituo sum rex ab is super sion mons sanctus is praedico praeceptum is,ego autem orditus sum rex meus super sion mons sanctus suus adnuntio deus praeceptum
12,2,7,סיפר אל חוק יהוה אמר אל בן אני אני יום ילדה,διαγγέλλω τῷς προστάγω κύριος κυριος εἶπον πρόστημι ἐγώ υἱός ἐγώ εἶμι σύω εγω σημαίρω γίγνομαι σύ,dominus dico ad ego filius meus sum tu ego hodie gigno tu,dominus dico ad ego filius meus sum tu ego hodie gigno tu
13,2,8,ביקש מן ואתנה גוי נחלה החזיק אפס ארץ,αἰτέω πάρειμι αἱρέω καίω δίδωμι σύ ἵημι τημ κληρονομιά σύ καίω τημ κατέχω σύ τῷ περάω ὁ γης,postulo ab ego et do tu gens hereditas tuus et possessio tuus terminus terra,postulo ab ego et do tu gens hereditas tuus et possessio tuus terminus terra
14,2,9,ריחם שבט ברזל כלי יוצר חפץ,ποιμανεύς αὐτός εἶμι ραβδω σιδήρης οἰδα σκευός κεραμεως συντρίπτω αὐτός,rex is in virga ferreus tamquam vas figula confringo is,pasco is in virga ferreus ut vas figula contior is
15,2,10,עתה מלך השכיל הוסר שפט ארץ,καίω νῦν βασιλεύς σύνω παιδευθητε παντάω οἶδα κρίνω τημ γαίνω,et nunc rex intellego erudio qui iudico terra,nunc ergo rex intellego erudio iudex terra
16,2,11,שעבד את יהוה יראה גילה רעדה,δουλεύω τίω κυριω εἶμι φοβέω καίω αγαλλίσκω αὐτάω εἶμι τροβώ,servo dominus in timor et exsulto is in tremus,servo dominus in timor et exsulto in tremus
17,2,12,נשק בר פן יאנף איבד דרך כי בער כמעט אף אשרי כל חוסה בו,δράσσω παιδεῖος μηπόομαι οἰργίζω κυριος καίω απόλλυμι ἐκ οἶδα δίκαιος οἴομαι εἰκω εἶμι τίχτω ὁ θυμος αὐτάω μακαριός παντάω οἶδα πείθω εἶπον αὐτάω,adprehendo disciplina nequor irascor dominus et pereo de via iustus cum exardeo in brevi ira is beatus omnis qui confido in is,adoro pure ne forte irascor et pereo de via cum exardeo post paululus furor is beatus omnis qui spero in is
18,3,1,מזמור דוד נמלט מפני אבשלום בן,ψαλμος τίω δαυιδάω οἶπον απεδιδράσκω ἕπομαι προσόπτω αβεσάλλω τις υἱός αὐτάω,psalmus davida cum fugio ab facies abessalon filius sui,canticus davida cum fugio ab facies abessalon filius sui
19,3,2,יהוה מה רב צר רב קם על,κυρίω τις επληθύω οἶδα θλίβω ἐγώ πολύς επανισταντής εἶπον εἶμι,dominus quis multiplico sum qui tribulo ego multus insurgo adverdo ego,dominus quare multiplico sum hoss meus multus consurgo advisceo ego
20,3,3,רב אומר נפש אין ישועה לו אלוהים סלה,πολύς λέγω τῆ ψυχη ἐγώ οὐκέω εἰσίζω σωτηρια αὐτάω εἶμι τίω θέω αὐτάω διαψάλλω,multus dico anima meus non sum salus ipse in deus is diapsalmus,multus dico anima meus non sum salus hic in deus semper
21,3,4,אני יהוה מגן בעד כבוד מרים ראש,σύω δέω κυρίω αντιλημπτωρ ἐγώ εἶμι δοκέω ἐγώ καίω ὦψος τημ κεφαλή ἐγώ,tu autem dominus susceptor meus sum gloria meus et exalto caput meus,tu autem dominus clipeus circa ego gloria meus et exalto caput meus
22,3,5,קול אל יהוה נקרא השיב הר קודש סלה,φωνη ἐγώ πρόστημι κυριός εὑράσκω καίω εἰπακούω ἐγώ ἐκ ορος ἄγιος αὐτάω διαψάλλω,vocus meus ad dominus clamo et exaudio ego de mons sanctus suus diapsalmus,vocus meus ad dominus clamo et exaudio ego de mons sanctus suus semper
23,3,6,אני שכבה ואישנה הקיץ כי יהוה יסמכני,εγω ἑκοιμάω καίω υπνώς ἐάχω οἴομαι κυριος αντιλήγω ἐγώ,ego dormio et soporo sum exsurro quia dominus suscipio ego,ego dormio et soporo sum evigilo quia dominus sustento ego
24,3,7,לא נמלט מרבבות עם אשר סביב שתו על,οὐδόω φοβέω ἕπομαι μυριάς λαός τίνω κυκλω συνεπιτίθημι ἐγώ,non timeo milius populus circumdo ego,non timeo milius populus qui circumdo ego
25,3,8,קומה יהוה הושיעני אלוהים כי הכה את כול איב לחי שנה רשע שבר,αἰνέω κυρίω σώζω ἐγώ ὁ θεος ἐγώ οἴομαι σύω επατάσσω πᾶς του εχθραινόω ἐγώ ματαῖος οἶος αμάρτωλος συνετρίπτω,exsurgo dominus salvus ego facio deus meus quoniam tu percusso omnis adversor ego sine causa dens peccatum contrivistum,surgo dominus salvus ego facio deus meus quia percusso omnis inimicus meus maxillus dens impius confrago
26,3,9,יהוה ישועה על עם ברכה סלה,τις κύριος ἠμί σωτηρια καίω ἕπομαι τίνω λαός σύ ἠμί ευλογια σύ,dominus sum salus et super populus tuus benedictio tuus,dominus sum salus super populus tuus benedictio tuus semper
27,4,1,מנצח נגינה מזמור דוד,ἐίω τῷς τέλομαι εἶμι ψάλμος οἶδα τίω δαυιδάω,in finis in carmo psalmus davida,victor in psalmus canticus davida
28,4,2,בישר ענן אלוהים צדק צר הרחיב לי חנני שמע תפילה,εἶμι τίω επικαλέω ἐγώ εισακούω ἐγώ ὁ θεος ὁ δικαιόσυνος ἐγώ εἶμι θλίπτω επλατυνός ἐγώ οικτείρω ἐγώ καίω εισακούω ὁ προσευχή ἐγώ,cum invoco exaudio ego deus iustitia meus in tribulatio dilato ego misereor meus et exaudo oratio meus,invoco ego exaudo ego deus iustitia meus in tribulatio dilato ego misereor meus et exaudo oratio meus
29,4,3,בן איש עד מה כבוד כלה אהבה ריק ביקש כזב סלה,υἱός ἄνθρωπος ἐάω ποτέ βαρυκαρδίος ἐνάω τις αγαπάτω ματαιοτής καίω ζητέω ψευδος διαψάλλω,filius homo usqueqo gravus cor ut quis diligo vanitas et quaero mendacium diapsalmus,filius virus usqueqo inclitus meus ignominiose diligo vanitas quaero mendacium semper
30,4,4,הגיד כי הפלה יהוה חסיד לו יהוה נשמע בקראי אל,καίω γιγνώσκω οἴομαι ἑθαυμάζω κυριος τίνω οσύς αὐτάω κυριος εισακούω ἐγώ εἶμι τίω κράζω ἐγώ πρόστημι αυτον,et scito quoniam mirifico dominus sanctus suus dominus exaudio ego cum clamavo ad is,et cognosco quoniam mirabilis reddo dominus sanctus suus dominus exaudio cum clamavo ad is
31,4,5,רגזו אל תחטאו אמר לבב על משכב דם סלה,οργίζω καίω μή ἁμαρτάνω λέγω εἶμι ὁ καρδιός ὦμος καίω ἕπομαι ὁ κοῖτα ὦμος κατανυγάομαι διαψάλλω,irascor et nolo pecco qui dico in cor vester in cubilis vester conpungimo diapsalmus,irascor et nolo pecco loquor in cor vester super cubilis vester et taceo semper
32,4,6,זבח זבח צדק בטח אל יהוה,θύω θυσιάς δικαιόσυνος καίω ελπίζω ἕπομαι κυριός,sacrifico sacrificium iustitia et spero in dominus,sacrifico sacrificium iustitia et fidite in dominus
33,4,7,רב אומר מי ירא טוב ניסה על אור פנים יהוה,πολύς λέγω τις δείκνυμι εἶμι τῷ ἄγνυμι εἰσομαί εἶπον ημας τῷς φως τις προσόπτω σύ κυρίω,multus dico quis ostendo nos bonum signo sum super nos lumen vultus tuus dominus,multus dico quis ostendo nos bonum lego super nos lux vultus tuus dominus
34,4,8,נתתה שמחה לב עת דג תירוץ רב,εδωκας ευφροσυνός ἐίω τημ καραίνω ἐγώ ἕπομαι καῖρος σῖτος καίω φέρω καίω αἱρέω αὐτός επληθύω,do laetitia in cor meus ab fructus frumentum et vinis et oleum sui multiplico sum,do laetitia in cor meus in tempus frumentum et vinum is multiplico sum
35,4,9,שלום יחדיו אשכבה ואישן כי אני יהוה בדד בטח הושיב,εἶμι ειρηνη ἕπομαι τῷς αὐτάω κοιμάω καίω υπνόω οἴομαι σύω κυρίω κάθημαι μόνος εἶπον ελπις κατοκίζω ἐγώ,in pax in is ipse dormio et requisca quoniam tu dominus singulariter in spes constituo ego,in pax simul requisca et dormio quia tu dominus specialiter securus habito facio ego
36,5,1,מנצח אל הנחילות מזמור דוד,ἐίω τῷς τέλομαι ὀπέρω ὁ κληρονέμω ψαλμος τίω δαυιδάω,in finis pro is qui hereditas consequor psalmus davida,victor pro hereditas canticus davida
37,5,2,אומר האזין יהוה בינה הגיג,τῷ ρήγνυμι ἐγώ ενωτίζω κυρίω συνίημι ὁ κραυγή ἐγώ,verba meus auris percipio dominus intellego clamor meus,verba meus audio dominus intellego murio meus
38,5,3,הקשיב קול שועה מלך אלוהים כי אל התפלל,πρόσχω τῆ φωνη ὁ δεόσις ἐγώ ὁ βασιλεύς ἐγώ καίω ὁ θεος ἐγώ οἴομαι πρόστημι σύ προσεύχομαι κυρίω,intendo vocus oratio meus rex meus et deus meus quoniam ad tu oro,rex meus et deus meus quia tu depredo
39,5,4,יהוה בקר שמע קול בקר בירך לך ואצפה,τῷς πράσσω εἰσακούω ὁ φωνή ἐγώ τῷς πράσσω παρίστημι σύ καίω ἕπομαι,dominus mane exaudio vocus meus mane asstabor tu et video,dominus mane audio vocus meus mane praeparo ad tu et contemplor
40,5,5,כי לא אל חפץ רשע אני לא גירש רע,οἴομαι οὐχίζω θεος ἐθέλω ανομιά σύω εἶμι οὐδόω παροικέω σύ πονηρεύομαι,quoniam non deus volo iniquitas tu sum neque habito iuxta tu malignus,quoniam non sum deus volo iniquitas tu nec habito iuxta tu malignus
41,5,6,לא התייצב הוללים נגד עין שנאה כל פועל אוון,οὐδόω διαμένω παρανομέμομαι κατένομαι τίνω οφθαλμων σύ εμι πᾶς του ἐργάζομαι τημ ανομιά,neque permaneo iniustus ante oculus tuus odi omnis qui operor iniquitas,non sto iniquis in conspectus oculus tuus odi omnis operor iniquitas
42,5,7,איבד דבר כזב איש דם מרמה יתעב יהוה,απόλλυμι πᾶς του λαμβάνω τῷς ψευδος αἱνέρω αἴμω καίω δολιός βέλλω κυριος,peido omnis qui loquor mendacium virus sanguis et dolos abominor dominus,peido loquor mendacium virus sanguis et dolos abominor dominus
43,5,8,אני רוב חסד בא בית אשתחוה אל היכל קודש יראה,εγω δέω εἶμι τίω πλήθω τις ελεός σύ εισλεύσσω ἐίω τίνω οἶκος σύ προσκυνέω πρόστημι ναός ἄγιος σύ εἶμι φοβέω σύ,ego autem in multitudo misericordia tuus introibo in domus tuus adoro ad templum sanctus tuus in timor tuus,ego autem in multitudo misericordia tuus introibo in domus tuus adoro in templum sanctus tuus in timor tuus
44,5,9,יהוה נח צדקה למען שורר ישר לפני דרך,κυρίω οἰδέομαι ἐγώ εἶμι τῆ δικαιοσυνής σύ ἀνίημι τίνω εχθρων ἐγώ κατευθύνω ενωπιός ἐγώ τημ οἶδα σύ,dominus do ego in iustitia tuus propter inimicus meus dirigo in conspectus meus via tuus,dominus do ego in iustitia tuus propter insidiator meus dirigo ante facies meus via tuus
45,5,10,כי אין פה נכון קרב הוות קבר פתוח גרון לשון יחליקון,οἴομαι οὐκέω εἰσίζω εἶμι τίω στόγω αὐτός αλῆθεια ἠμί καρδίνω αὐτός ματαια ταφος αἰνέομαι ὁ λαμβάνω αὐτός ὁ γλῶσσα αὐτός εδολιόω,quoniam non sum in os is veritas cor is vanum sum sepulch pateo sum guttur is lingua suus dolos ago,non sum enim in os is rego interior is insidia sepulch pateo guttur is lingua suus levifico
46,5,11,המית אלוהים הפיל פרצה רוב פשע הדיח כי מרו בך,κρίνω αὐτός ὁ θεος ἀποπατάω ἕπομαι τίνω διαβούλιος αὐτός κάθημαι τῷς πληθος τίνω αἰσβέω αὐτός ἐξόδω αὐτός οἴομαι παραπικράσκω σύ κυρίω,iudo ille deus decido ab cogitatio suus secundum multitudo impietas is expello is quoniam inritor tu dominus,condemno is deus decido ab consilium suus iuxta multitudo scelus is expello is quoniam provoco tu
47,5,12,שימח כל חוס על לעולם ירננו נישא על נישא בך אוהב שם,καίω ευφρανθάνω παντάω οἶδα ελπίζω ἕπομαι σύ ἐίω αιών αγαλλίσκω καίω κατασκηνόω εἶμι αὐτός καίω καίχω εἶμι σύ παντάω οἶδα αγαπός τῷς οἰνόω σύ,et laeto omnis qui spero in tu in aeternus exsulto et habeo in is et glorio in tu omnis qui diligo nomen tuus,et laeto omnis qui spero in tu in perpetuus laudo et protero is et laeto in tu qui diligo nomen tuus
48,5,13,כי אני בירך צדיק יהוה השביע רצון זיכה,οἴομαι σύω εὐλογέομαι δικαιόω κυρίω οἰδα ὁπλάω ευδοκία ἑστεφανόω ημας,quoniam tu benedicimus iustus dominus ut scutus bonus voluntas corono nos,quia tu benedicimus iustus dominus ut scutus placabilitas corono is
49,6,1,מנצח נגינה על שמיני מזמור דוד,ἐίω τῷς τέλομαι εἶμι ἄμνος ὀπέρω ὁ ογδοης ψαλμος τίω δαυιδάω,in finis in carmo pro octavus psalmus davida,victor in psalmus super octavus canticus davida
50,6,2,יהוה אל אף הוכיח אל חמה תיסרני,κυρίω μή τίω θυμόω σύ ελεγξα ἐγώ μηδέομαι τῆ ὁργέω σύ παιδευσης ἐγώ,dominus ne in furor tuus arguo ego neque in ira tuus corripio ego,dominus ne in furor tuus arguo ego neque in ira tuus corripio ego
51,6,3,חנני יהוה כי אמלל אני רפאני יהוה כי נבהל עצם,ἐλεέω ἐγώ κυρίω οἴομαι ασθενής ειμι ἵημι ἐγώ κυρίω οἴομαι εταραχθη τῷ οἶτα ἐγώ,misereor meus dominus quoniam infirmus sum sanus ego dominus quoniam conturbo sum os meus,misereor meus dominus quoniam infirmus sum sanus ego dominus quoniam conturbo sum os meus
52,6,4,נפש נבהל מאוד אני יהוה עד מתי,καίω ἠμί ψυχη ἐγώ εταραχθη σφοδράω καίω σύω κυρίω ἐάω ποτέ,et anima meus turbo sum valde et tu dominus usqueqo,et anima meus turbo sum valde et tu dominus usqueqo
53,6,5,שובה יהוה חלצה נפש הושיעני למען חסד,επιστρέφω κυρίω ρυσή τημ ψυχή ἐγώ σώζω ἐγώ ἕνω τις ελεός σύ,converto dominus eripiscor anima meus salvus ego facio propter misericordia tuus,reverto dominus ero anima meus saluus ego propter misericordia tuus
54,6,6,כי אין מוות זכר שאול מי יודה לו,οἴομαι οὐκέω εἰσίζω εἶμι τίω θνήσκω ὁ μνημονεύω σύ εἶμι δέω τίω οἶδα τις εξολολογέομαι σύ,quoniam non sum in mors qui memor sum tuus in infernus autem quis confiteor tu,quoniam non sum in mors recordatio tuus in infernus quis confiteor tu
55,6,7,יגע אנחה אשחה כל לילה מיטה דמעה ערש אמסה,ἑκοπιάω εἶμι τίω στενάγω ἐγώ λούω κάθημαι ἵκνυμαι οὐκτάω τημ κλινή ἐγώ εἶμι δάκρυμαι ἐγώ τημ στρωμνή ἐγώ βρέκω,laboro in gemitum meus lavo per singulus nox lectus meus in lacrima meus stro meus rigo,laboro in gemitum meus nator facio totus nox lectulus meus lacrima meus stro meus rigo
56,6,8,עששה כעס עין עתק כל צוררי,εταραχθη ἕπομαι θυμόω ὁ οφθαλμος ἐγώ ἑπαλαίομαι εἶμι πανέω ὁ εχθρός ἐγώ,turbo sum ab furor oculus meus invetero inter omnis inimicus meus,caligo prae amaritudo oculus meus consumo sum ab universus hostus meus
57,6,9,סור מן כל פועל אוון כי שמע יהוה קול בכי,ἀφίστημι ἵημι αἱρέω παντάω οἶδα ἐργάζομαι τημ ανομιά οἴομαι εισακούω κυριος ὁ φωνή τις κλαῖθμον ἐγώ,discedo ab ego omnis qui operor iniquitas quoniam exaudio dominus vocus fletus meus,recedo ab ego omnis qui operor iniquitas quia audio dominus vocus fletus meus
58,6,10,שמע יהוה תחנה יהוה תפילה לקח,εισακούω κυριος ὁ δεόσις ἐγώ κυριος τημ προσέχω ἐγώ προσδέχομαι,exaudio dominus deprecatio meus dominus oratio meus suscipio,audio dominus deprecatio meus dominus oratio meus suscipio
59,6,11,יבשו נבהל מאוד כל איב ישב יבש רגע,αἰσχύνω καίω ταράσσω σφοδράω παντάω οἶδα εχθρός ἐγώ αροστρέφω καίω καταισχύνω σφοδράω δίω ὅχος,erubesco et confurbo vehementer omnis inimicus meus converto et erubesco valde velociter,confundo et confurbo vehementer omnis inimicus meus reverto et confundo subito
60,7,1,קלון דוד אשר שר יהוה על דבר כוש בן ימין,ψαλμος τίω δαυιδάω ος ἵημι τίω κυριω ὀπέρω τίνω λογέω χοῦς υἱός ἵημι,psalmus davida qui canto dominus pro verbum chus filius ieminus,pro ignoratio davida quod cecinio dominus super verbum aethio filius ieminus
61,7,2,יהוה אלוהים בך הגן הושיעני כול רדף הציל,κυρίω ὁ θεος ἐγώ ἕπομαι σύ αἱρπίζω σώζω ἐγώ ἵημι πᾶς τίνω διώκοντος ἐγώ καίω ρυσή ἐγώ,dominus deus meus in tu spero salvus ego facio ex omnis persequor ego et liber ego,dominus deus meus in tu spero saluus ego ab omnis persequor ego et liber ego
62,7,3,פן טרף ארי נפש פרק אין מציל,μηπόομαι αρπασή οἰδα λέω τημ ψυχή ἐγώ μή οντος λυτρούω μηδέομαι σώζω,nequor rapio ut leo anima meus dum non sum qui redimo neque qui salvus facio,ne forte capio ut leo anima meus laceo et non sum qui eruo
63,7,4,יהוה אלוהים אם עשה זה אם יש עול כף,κυρίω ὁ θεος ἐγώ εἶμι εποιόω τίυμμι εἶμι εἰσίζω αδικιός εἶμι χείρ ἐγώ,dominus deus meus si facio iste si sum iniquitas in manus meus,dominus deus meus si facio iste si sum iniquitas in manus meus
64,7,5,אם גמלה שולמי רע ואחלצה צוררי ריקם,εἶμι ἀνταπίδωμι ὁ ανταποδίδωμι ἐγώ κάκτε ἀπόπτω ἄρνυμαι ἕπομαι τίνω εχθρων ἐγώ κενος,si reddo retribuo ego malum decido meritum ab inimicum meus inanis,si reddo retribuo ego malum et dimitto hoss meus vacuus
65,7,6,ירדף אויב נפש וישג הובל ארץ חי כבוד עפר ישכן סלה,καταδιώκω ἄρνυμαι ὁ εχθρος τημ ψυχή ἐγώ καίω καταλαμβάνω καίω καταπατέομαι ἐίω γαίνω τημ ζωός ἐγώ καίω τημ δοκέω ἐγώ ἐίω χώ κατασκηνόω διαψάλλω,persequor inimicus anima meus et conprehendo et conculco in terra vita meus et gloria meus in pulver deduco diapsalmus,persequor inimicus anima meus et adprehendo et conculco in terra vita meus et gloria meus in pulver conloco semper
66,7,7,קומה יהוה אף נשא עבירה צוררי עור אלי משפט ציוה,αἰνάνω κυρίω εἶμι ὁργέω σύ υψωθής εἶμι ὁ πέρω τίνω εχθρων ἐγώ ἐεγερθάνομαι κυρίω ὁ θεος ἐγώ εἶμι προστάγματις ω εἰντέλλω,exsurgo dominus in ira tuus exalto in finis inimicus meus et exsurgo dominus deus meus in praecipio quod mando,surgo dominus in furor tuus elevo indigno super hoss meus et consurgo ad ego iudicium quod mando
67,7,8,ועדה לאמים סובב עלייה מרום שובה,καίω συνάγω λαων κυκλόω σύ καίω ὀπέρω οὗτος ἐίω υψος επιστρέφω,et synagoga populus circumdo tu et propter hic in altus regredior,et congregatio tribus circumdo tu et pro hic in altus reverto
68,7,9,יהוה ידין עם שפט יהוה אדון כתם עלי,κυριος κρίνω λαός κρίνω ἐγώ κυρίω κάθημαι τημ δικαιόσυνος ἐγώ καίω κάθημαι τημ ακακῖος ἐγώ εἶπον εἶμι,dominus iudico populus iudo ego dominus secundum iustitia meus et secundum innocentia meus super ego,dominus iudico populus iudo ego dominus secundum iustitia meus et secundum simplicitas meus qui sum in ego
69,7,10,נגמר נא רע רשע ותכונן צדיק בחן לב כליה אלוהים צדיק,συντελέω δέω πονηρία αμάρτωλος καίω κατευθύνω δικαιόω εθάζω καρδία καίω νέφρος ὁ θεος,consummo nequitia peccatum et dirigo iustus et scrutor cor et renes deus,consumo malum iniquus et confirmo iustitia probator cor et renus deus iustus
70,7,11,הגן על אלוהים מושיע ישר לב,δικαιάω ἠμί βοηθεια ἐγώ πάρειμι τις θέω τις σώζω του ευθή τῆ καρδίνω,iustus adiutorium meus ab deus qui salvus facio rego cor,clipeus meus in deus qui salvo rego cor
71,7,12,אלוהים שופט צדיק אל זעם כל יום,ὁ θεος κριτός δικαιος καίω ισχυρος καίω μακροθυμος μή οργή εἶπον κάθημαι ἵκνυμαι ὁμεράω,deus iudex iustus et fortis et patiens numquis irascor per singulus dies,deus iudex iustus et fortis comminor totus dies
72,7,13,אם לא ישוב חרב ילטוש קשת דרך כונן,εἶμι μή επιστρέφω τημ ρομφαιός αὐτάω στιλβόω τῷς ἔχω αὐτάω εντένω καίω ἑτοιμάζω αὐτάω,nisi conversum fuero gladius suus vibro arcus suus tetendo et para ille,non converto gladius suus acuo arcus suus tetendo et para ille
73,7,14,לו הכין כלי מוות חץ דלק הופעל,καίω εἶμι αὐτάω ἑτοιμάζω σκεύω ἕνατος τῷ βελάω αὐτάω ὁ καίω ἐργάζομαι,et in is para vasa mors sagittas suus ardeo efficio,et in ipse praeparavo vasa mors sagittas suus ad conburo operor sum
74,7,15,הן יחבל אוון הרה עמל ילד שקר,εἶδον ὀδινέω αδικῖος συλλαμβάνω πονός καίω τίκτω ανομιά,ecce parturio iniustitia et concipio dolor et pario iniquitas,ecce parturio iniquitas et concipio dolor pario mendacium
75,7,16,בור כורה ויחפרהו הוסר שחת פעל,λακκός ὀρύσσω καίω αἰνκάπτω αυτον καίω ἔμπω ἐίω βοθρώσκω ος ἐργάζομαι,lacus aperio et effodio is et incido in fovea quam facio,lacus aperio et effodio is et incido in interitus qui operor sum
76,7,17,יישוב עמל ראש על קודקוד חמס ירד,επιστρέφω ὁ πονος αὐτάω ἐίω κεφαλή αὐτάω καίω ἕπομαι κορυφή αὐτάω ἠμί αδικιός αὐτάω καταβαίνω,converto dolor is in caput is et in vertix ipse iniquitas is descendo,reverto dolor suus in caput is et super vertix is iniquitas suus descendo
77,7,18,הודה יהוה אלוהים דיבר שם יהוה עליון,ἑξομολογέομαι κυριω κάθημαι τημ δικαιόσυνος αὐτάω καίω ψάλλω τίω οἰνόω κύριος τις εὔψομαι,confiteor dominus secundum iustitia is et psallo nomen dominus altus,confiteor dominus secundum iustitia is et canto nomen dominus altus
78,8,1,מנצח על הגתית מזמור דוד,ἐίω τῷς τέλομαι ὀπέρω τίνω λήνη ψαλμος τίω δαυιδάω,in finis pro torcularis psalmus davida,victor pro torcularis canticus davida
79,8,2,יהוה אדנינו מה אדיר שם כול ארץ אשר תנה הוד על שמיים,κυρίω ὁ κυριος εἶμι οἰδα θαύμαστος τῷς οἰνόω σύ εἶμι πατέω τῆ γαίνω οἴομαι επέρχομαι ἠμί μεγαλοπρεπεια σύ υπερανω τίνω οὐράω,dominus dominus noster quam admirabilis sum nomen tuus in universus terra quoniam elevo sum magnificentia tuus super caelum,dominus dominator noster quam grans sum nomen tuus in universus terra qui pono gloria tuus super caelum
80,8,3,פה עולל שינק ייסד עוז למען צורריך להשבית אויב ומתנקם,ἵημι στομα νῆπις καίω θηλάζω καταρτίζω αἴνω ἀνίημι τίνω εχθρων σύ τις καταλύω ἄχθρος καίω εκδικητός,ex os infantius et lacto perficio laus propter inimicus tuus ut destruo inimicus et ultor,ex os infantius et lacto perficio laus propter adversarius meus ut quiesco inimicus et ultor
81,8,4,כי הראה שמיים מעשה אצבע ירח כוכב אשר כוננתה,οἴομαι οψομαι του οὐρανός ἔργω τίνω δάκτυλος σύ σεληνή καίω αὐτερής α σύω εθεμελιώνης,quoniam video caelum tuus opus digitus tuus luna et stella qui tu fundo,video enim caelum tuus opus digitus tuus luna et stella qui fundo
