Hebrew Trans,Septuagint Trans,Gallican Psalter Trans,Hebrew Psalter Trans
For there is no faithfulness in their mouth; their inward part is destruction; their throat is an open grave; they flatter with their tongue.,For there is no truth in their mouth; their heart is vain; their throat is an open tomb; with their tongues they have dealt deceitfully.,For there is no truth in their mouth; their heart is vain; their throat is an open sepulchre; with their tongues they acted deceitfully.,For there is nothing right in their mouth; their inward parts are snares; their throat is an open sepulcher; they make smooth their tongue.
"Hold them guilty, O God; let them fall by their own counsels; cast them out in the multitude of their transgressions, for they have rebelled against You.","Judge them, O God; let them fall from their own counsels; according to the multitude of their ungodliness, drive them out, for they have embittered you, O Lord.","Judge them, O God; let them fall from their own designs; according to the multitude of their impieties, cast them out, for they have provoked you, O Lord.","Condemn them, O God; let them fall from their own counsels; according to the multitude of their crimes, cast them out, for they have provoked you."
"And let all who take refuge in You rejoice; let them ever shout for joy, and You shall shelter them; and let those who love Your name exult in You.","And let all who hope in you rejoice; they shall exult forever, and you shall dwell among them; and all who love your name shall glory in you.","And let all who hope in you rejoice; they shall exult forever, and you will dwell in them; and all who love your name shall glory in you.","And let all who hope in you rejoice; they shall praise forever, and you will protect them; and let those who love your name be glad in you."
"For You, O LORD, will bless the righteous; with favor as with a shield You will surround him.","For you, O Lord, will bless the righteous; as with a shield of favor you have crowned us.","For you will bless the just, O Lord; as with a shield of good will you have crowned us.","For you will bless the just, O Lord; as with a shield of favor you will crown him."
"For the choirmaster, with stringed instruments, upon the Sheminith. A psalm of David.","For the end, among hymns, on behalf of the eighth, a psalm of David.","Unto the end, in songs for the octave, a psalm of David.","To the victor, in psalms, upon the octave: a song of David."
"O LORD, do not rebuke me in your anger, and do not chasten me in your wrath.","O Lord, do not rebuke me in your anger, nor chasten me in your wrath.","O Lord, rebuke me not in your fury, nor chastise me in your wrath.","O Lord, do not rebuke me in your fury, nor chastise me in your wrath."
"Be gracious to me, O LORD, for I am languishing; heal me, O LORD, for my bones are terrified.","Have mercy on me, O Lord, for I am weak; heal me, O Lord, for my bones are troubled.","Have mercy on me, O Lord, for I am weak; heal me, O Lord, for my bones are troubled.","Have mercy on me, O Lord, for I am weak; heal me, O Lord, for my bones are troubled."
"And my soul is greatly terrified; and you, O LORD—how long?","And my soul is troubled greatly; and you, O Lord, how long?","And my soul is troubled greatly; and you, O Lord, how long?","And my soul is greatly troubled: and you, O Lord, how long?"
"Return, O LORD, deliver my soul; save me for the sake of your lovingkindness.","Turn back, O Lord, deliver my soul; save me for the sake of your mercy.","Turn to me, O Lord, and deliver my soul; save me for the sake of your mercy.","Return, O Lord, rescue my soul: save me for the sake of your mercy."
"For in death there is no remembrance of you; in Sheol, who shall give thanks to you?","For there is no one in death who remembers you; and in Hades, who shall give thanks to you?","For in death there is no one who remembers you; and in hell, who shall confess to you?","For in death there is no remembrance of you: in hell, who shall confess to you?"
I am weary with my groaning; every night I flood my bed; with my tears I drench my couch.,"I grew weary in my groaning; every night I shall wash my bed, with my tears I shall drench my couch.",I have labored in my groaning; every night I will wash my bed; with my tears I will drench my couch.,I have labored in my groaning; every night I shall make my bed swim; with my tears I shall drench my couch.
My eye wastes away from grief; it grows old because of all my adversaries.,My eye is troubled from anger; I have grown old among all my enemies.,My eye is troubled with fury; I have grown old among all my enemies.,My eye has grown dim from bitterness; I am worn out by all my enemies.
"Depart from me, all you workers of iniquity, for the LORD has heard the voice of my weeping.","Depart from me, all you who work lawlessness, for the Lord has heard the voice of my weeping.","Depart from me, all you who work iniquity, for the Lord has heard the voice of my weeping.","Depart from me, all you who work iniquity, for the Lord has heard the voice of my weeping."
The LORD has heard my supplication; the LORD will accept my prayer.,The Lord has heard my supplication; the Lord has accepted my prayer.,The Lord has heard my supplication; the Lord has received my prayer.,The Lord has heard my supplication; the Lord will receive my prayer.
Let all my enemies be ashamed and greatly terrified; let them turn back and be put to shame in a moment.,Let all my enemies be ashamed and be greatly troubled; let them be turned back and put to shame greatly with speed.,Let all my enemies be ashamed and greatly troubled; let them be turned back and ashamed very swiftly.,Let all my enemies be ashamed and greatly troubled: let them turn back and be put to shame suddenly.
"A Shiggaion of David, which he sang to the LORD, concerning the words of Cush, a Benjaminite.","A psalm of David, which he sang to the Lord concerning the words of Cush the son of Jemeni.","A psalm of David, which he sang to the Lord concerning the words of Cush, the son of Jemini.","For the ignorance of David, which he sang to the Lord concerning the words of the Ethiopian, the son of Jemini."
"O LORD my God, in You I have taken refuge; save me from all who pursue me, and deliver me,","O Lord my God, in you I have hoped; save me from all who pursue me, and deliver me,","O Lord my God, in you I have hoped: save me from all who persecute me, and deliver me.","O Lord my God, in you I have hoped: save me from all who persecute me, and deliver me."
"lest he tear my soul like a lion, rending it in pieces, and there is none to deliver.","lest he seize like a lion my soul, with no one to redeem or to save.","Lest at any time he seize my soul like a lion, while there is none to redeem, nor any to save.","Lest perhaps he seize my soul like a lion, and tear it apart, and there be none to rescue."
"O LORD my God, if I have done this, if there is iniquity in my hands,","O Lord my God, if I have done this, if there is injustice in my hands,","O Lord my God, if I have done this thing, if there is iniquity in my hands,","O Lord my God, if I have done this thing, if there is iniquity in my hands,"
"if I have repaid my friend with evil, or plundered my adversary without cause,","if I have repaid those who repay me with evils, then let me fall empty before my enemies.","if I have repaid those who rendered evil to me, let me deservedly fall empty before my enemies.","if I have repaid those who rendered evil to me, and have let my enemies go empty,"
"let the enemy pursue my soul and overtake it, and let him trample my life to the ground, and lay my glory in the dust. Selah.","Let the enemy pursue my soul and overtake it, and let him trample my life to the ground, and let him make my glory dwell in the dust. Selah.","Let the enemy pursue my soul and overtake it, and let him trample my life upon the ground, and bring down my glory into the dust. Selah.","let the enemy pursue my soul and overtake it, and trample my life upon the ground, and lay my glory in the dust forever."
"Arise, O LORD, in Your anger; lift Yourself up against the fury of my adversaries, and awake for me; You have commanded judgment.","Arise, O Lord, in your anger; be exalted in the borders of my enemies. Awake, O Lord my God, with the decree that you have commanded.","Arise, O Lord, in your wrath; be exalted in the borders of my enemies; and arise, O Lord my God, in the commandment which you have commanded.","Arise, O Lord, in your fury; be lifted up in indignation against my enemies, and rise up for me in the judgment which you have commanded."
"And let the congregation of the peoples surround You, and over it return on high.","And the assembly of peoples shall surround you, and on account of this return on high.","And the congregation of peoples shall surround you, and for this cause return on high.","And let the assembly of the peoples surround you, and for this return on high."
"The LORD judges the peoples; judge me, O LORD, according to my righteousness and according to my integrity that is upon me.","The Lord judges the peoples; judge me, O Lord, according to my righteousness and according to my innocence that is upon me.","The Lord judges the peoples. Judge me, O Lord, according to my righteousness, and according to my innocence that is upon me.","The Lord will judge the peoples. Judge me, O Lord, according to my righteousness and according to my innocence that is in me."
"Let the evil of the wicked come to an end, but establish the righteous; for the righteous God tests the hearts and the minds.","Let the wickedness of sinners be brought to an end, and you will direct the righteous, O God who examines hearts and minds.","Let the wickedness of sinners be consumed, and you shall direct the just one, O God who searches hearts and reins.","Let the wickedness of the unrighteous be consumed, and let the righteous be established. The tester of hearts and minds is God the just."
"My shield is with God, who saves the upright in heart.","Righteous is my help from God, who saves the upright in heart.","My just help is from God, who saves the upright of heart.","My shield is in God, who saves the upright of heart."
"God is a righteous judge, and a God who has indignation every day.","God is a righteous and strong judge, and long-suffering, not bringing wrath every day.","God is a just judge, and strong and patient. Does he grow angry every day?","God is a just judge, and strong, threatening every day."
"If one does not repent, He will sharpen His sword; He has bent His bow and made it ready.","If you do not turn back, he will make his sword flash; he has bent his bow and made it ready.","Unless you shall have been converted, he will brandish his sword; he has bent his bow and made it ready.","If one does not turn back, he will sharpen his sword; he has bent his bow and made it ready."
And for him He has prepared instruments of death; He makes His arrows into fiery shafts.,And in it he has prepared instruments of death; he has fashioned his arrows for those who burn.,And in it he has prepared the instruments of death; he has made his arrows for those who burn.,And in it he has prepared vessels of death; he has fashioned his arrows for burning.
"Behold, he travails with iniquity, and conceives mischief, and brings forth falsehood.","Behold, he was in labor with injustice, he conceived toil, and brought forth lawlessness.","Behold, he has been in labor with injustice, and has conceived sorrow, and brought forth iniquity.","Behold, he labors with iniquity, and having conceived sorrow, he has brought forth falsehood."
"He has dug a pit and hollowed it out, and has fallen into the ditch which he made.","He dug a pit and excavated it, and he shall fall into the hole that he made.","He has opened a pit and dug it out, and he shall fall into the hole which he has made.","He has opened a pit and dug it out, and he will fall into the ruin which he has wrought."
"His mischief shall return upon his own head, and his violence shall come down upon his own crown.","His toil shall return upon his own head, and upon his own crown his injustice shall descend.","His sorrow shall be turned upon his own head, and his iniquity shall descend upon the crown of his own head.","His sorrow shall return upon his own head, and his iniquity shall descend upon his own crown."
"I will give thanks to the LORD according to His righteousness, and will sing praise to the name of the LORD Most High.","I will give thanks to the Lord according to his righteousness, and I will sing praise to the name of the Lord Most High.","I will give praise to the Lord according to his righteousness, and I will sing to the name of the Lord most high.","I will praise the Lord according to his righteousness, and I will sing to the name of the Lord most high."
"For the choirmaster, upon the Gittith, a psalm of David.","For the end, concerning the winepresses; a psalm of David.","Unto the end, for the winepresses, a psalm of David.","To the victor, for the winepresses, a song of David."
"O LORD, our Lord, how majestic is your name in all the earth, who has set your splendor upon the heavens.","O Lord, our Lord, how wondrous is your name in all the earth! For your magnificence has been raised above the heavens.","O Lord, our Lord, how admirable is your name in all the earth! For your magnificence is elevated above the heavens.","O Lord, our Lord, how great is your name in all the earth, you who have set your glory above the heavens."
"Out of the mouth of babes and sucklings you have established strength, on account of your adversaries, to silence the enemy and the avenger.","Out of the mouth of babes and sucklings you have prepared praise, on account of your enemies, to destroy the enemy and the avenger.","Out of the mouth of infants and nurslings you have perfected praise, because of your enemies, that you may destroy the enemy and the avenger.","From the mouth of infants and nursing babes you have perfected praise, because of your adversaries, that the enemy and the avenger may be silenced."
"When I behold your heavens, the works of your fingers, the moon and the stars which you have established,","For I shall behold the heavens, the works of your fingers, the moon and the stars which you established.","For I shall see your heavens, the works of your fingers, the moon and the stars which you have established.","For I will see your heavens, the works of your fingers, the moon and the stars which you have established."
"What is man that you are mindful of him, and the son of man that you visit him?","What is man, that you are mindful of him? Or the son of man, that you visit him?","What is man, that you are mindful of him? Or the son of man, that you visit him?","What is man, that you are mindful of him, or the son of man, that you visit him?"
"Yet you have made him a little lower than God, and with glory and honor you crown him.",You made him a little lower than the angels; with glory and honor you crowned him.,You have made him a little less than the angels; with glory and honor you have crowned him.,You will make him a little less than God; with glory and honor you will crown him.
You make him to rule over the works of your hands; all things you have put under his feet:,And you set him over the works of your hands; you subjected all things under his feet:,And you have set him over the works of your hands; you have subjected all things under his feet:,You will give him power over the works of your hands; all things you have placed under his feet:
"Sheep and oxen, all of them, and also the beasts of the field,","Sheep and oxen, all of them, and moreover the cattle of the field,","Sheep and oxen, all of them, and moreover the cattle of the field,","Sheep and all cattle, moreover also the animals of the field,"
"The birds of the heavens and the fish of the sea, whatever passes through the paths of the seas.","The birds of the heaven and the fish of the sea, the things passing through the paths of the seas.","The birds of the sky and the fish of the sea, which traverse the paths of the sea.","The birds of the sky and the fish of the sea, which pass through the paths of the deep."
"O LORD, our Lord, how majestic is your name in all the earth.","O Lord, our Lord, how wondrous is your name in all the earth!","O Lord, our Lord, how admirable is your name in all the earth!","O Lord, our Lord, how great is your name in all the earth."
"For the choirmaster, upon Alamoth, of Ben, a psalm of David.","For the end, concerning the hidden things of the son. A psalm of David.","To the end, for the hidden things of the son: a psalm of David.","To the victor, for the death of the son, a song of David."
I will give thanks to the LORD with all my heart; I will recount all your wondrous deeds.,"I will give thanks to you, O Lord, with my whole heart; I will declare all your wonders.","I will confess to you, O Lord, with my whole heart; I will declare all your wondrous works.",I will confess to the Lord with my whole heart; I will declare all your wonders.
"I will be glad and exult in you; I will sing praise to your name, O Most High.","I will be glad and rejoice in you; I will sing praises to your name, O Most High.","I will be glad and rejoice in you; I will sing praise to your name, O Most High.","I will be glad and rejoice in you; I will sing to your name, O Most High."
"When my enemies turn back, they shall stumble and perish before you.","When my enemy is turned back, they shall be weakened and shall perish before your face.","When my enemy is turned back, they shall be weakened and shall perish before your face.","When my enemies shall fall backward, and shall stumble and perish before your face."
For you have maintained my justice and my cause; you sat on the throne judging righteously.,"For you have upheld my judgment and my cause; you sat upon the throne, you who judge righteousness.","For you have upheld my judgment and my cause; you have sat upon the throne, you who judge justice.","For you have made my judgment and my cause; you have sat upon the throne, a judge of justice."
"You have rebuked the nations, you have destroyed the wicked; you have blotted out their name forever and ever.","You have rebuked the nations, and the ungodly one has perished; you have blotted out their name forever and ever and ever.","You have rebuked the nations, and the wicked one has perished; you have blotted out their name forever and ever.",You have rebuked the nations; the wicked one has perished; you have blotted out their name forever and ever.
The enemy — their ruins are ended forever; and the cities you have uprooted — their very memory has perished.,"The swords of the enemy have utterly failed, and you have destroyed cities; their memorial has perished with a noise.","The swords of the enemy have failed utterly, and you have destroyed their cities; their memory has perished with a noise.","The desolations are completed unto the end, and you have overthrown cities; their memory has perished with them."
But the LORD sits enthroned forever; he has established his throne for judgment.,And the Lord endures forever; he has prepared his throne for judgment.,And the Lord endures forever; he has prepared his throne for judgment.,But the Lord shall sit forever; he has established his throne for judgment.
And he shall judge the world in righteousness; he shall govern the peoples with equity.,And he shall judge the world in righteousness; he shall judge the peoples in uprightness.,And he shall judge the world in equity; he shall judge the peoples in justice.,And he himself judges the world in justice; he judges the peoples in equity.
"And the LORD shall be a stronghold for the oppressed, a stronghold in times of trouble.","And the Lord became a refuge for the poor, a helper in due times, in affliction.","And the Lord has become a refuge for the poor, a helper in times of opportunity, in tribulation.","And the Lord shall be a refuge for the oppressed, a refuge in due time in tribulation."
"And those who know your name will put their trust in you, for you have not forsaken those who seek you, O LORD.","And let those who know your name hope in you, for you have not forsaken those who seek you, O Lord.","And let them hope in you who know your name, for you have not forsaken those who seek you, O Lord.","And let those who know your name trust in you, for you have not forsaken those who seek you, O Lord."
"Sing praises to the LORD, who dwells in Zion; declare among the peoples his deeds.",Sing praises to the Lord who dwells in Zion; declare his deeds among the nations.,"Sing praises to the Lord, who dwells in Zion; declare his deeds among the nations.",Sing to the Lord who dwells in Zion; declare his deeds among the peoples.
For he who avenges blood remembers them; he does not forget the cry of the humble.,For he who seeks out blood has remembered them; he has not forgotten the cry of the poor.,For he who requires their blood has remembered; he has not forgotten the cry of the poor.,For he who seeks their blood has remembered; he has not forgotten the cry of the poor.
"Be gracious to me, O LORD; see my affliction from those who hate me, you who lift me up from the gates of death,","Have mercy on me, O Lord; see my humiliation from my enemies, you who lift me up from the gates of death,","Have mercy on me, O Lord; see my humiliation at the hands of my enemies, you who lift me up from the gates of death,","The Lord has had mercy on me; he has seen my affliction from my enemies, he who lifts me up from the gates of death."
that I may recount all your praises; in the gates of the daughter of Zion I will rejoice in your salvation.,so that I may declare all your praises in the gates of the daughter of Zion; I will rejoice in your salvation.,That I may declare all your praises in the gates of the daughter of Zion; I will rejoice in your salvation.,That I may declare all your praises in the gates of the daughter of Zion; I will exult in your salvation.
"The nations have sunk in the pit they made; in the net which they hid, their own foot has been caught.","The nations have sunk in the destruction they made; in this snare which they hid, their foot has been caught.","The nations have sunk down in the destruction which they made; in this snare which they hid, their foot has been caught.","The nations have sunk down in the destruction which they made; in the net which they hid, their foot has been caught."
The LORD has made himself known; he has executed judgment; by the work of his own hands the wicked is snared. Higgaion. Selah.,The Lord is known executing judgments; by the works of his own hands the sinner has been caught. A song of a pause.,The Lord is known by executing judgments; in the works of his own hands the sinner has been caught. A song of diapsalma.,"The Lord is known, executing judgment; by the work of his own hands the wicked one has fallen, with an everlasting sound."
"The wicked shall return to Sheol, all the nations that forget God.","Let the sinners be turned back into Hades, all the nations that forget God.","Let sinners be turned into hell, all the nations that forget God.","Let the wicked be turned into hell, all the nations that have forgotten God."
For the needy shall not always be forgotten; the hope of the afflicted shall not perish forever.,For the poor shall not be forgotten forever; the patience of the needy shall not perish for ever.,For the poor shall not be forgotten to the end; the patience of the poor shall not perish forever.,For the poor shall not be forgotten forever; the expectation of the poor shall not perish in perpetuity.
"Arise, O LORD! Let not man prevail; let the nations be judged before your face.","Arise, O Lord, let not man prevail; let the nations be judged before you.","Arise, O Lord, let not man be strengthened; let the nations be judged in your sight.","Arise, O Lord, let not man be strengthened; let the nations be judged before your face."
